Region,Old Region,Division,District,SCHOOL ID,School Name,No. of Sites,No. of Classroom,Scope of Works,Estimated Project Allocation,Site Ownership
Region II,Region II,Cagayan,Alcala East,102363,Baybayog ES,1,6,2 STY 6CL,24000000,SP
Region II,Region II,Cagayan,Alcala East,102368,Damurog Elementary School,1,4,2 STY 4CL,16000000,SP
Region II,Region II,Cagayan,Baggao South,102534,Tungel ES,1,6,2 STY 6CL,24000000,SP
Region II,Region II,Cagayan,Buguey South,102571,Quinawegan ES,1,4,CONSTRUCTION OF 2ST4CL,16000000,SP
Region II,Region II,Cagayan,Buguey North,102572,Remebella ES,1,6,CONSTRUCTION OF 2ST6CL,24000000,SP
Region II,Region II,Cagayan,Sta. Ana,102912,Sta. Ana CS,1,10,2 STY 10CL,40000000,TCT/OCT
Region II,Region II,Cagayan,Alcala East,300421,Alcala Rural School,1,6,2 STY 6CL,24000000,TCT/OCT
Region II,Region II,Cagayan,Alcala East,300422,BAYBAYOG NATIONAL HIGH SCHOOL,1,8,2 STY 8CL,32000000,TCT/OCT
Region II,Region II,Cagayan,Aparri East,300428,Aparri School of Arts and Trades,1,6,2 STY 6CL,24000000,TCT/OCT
Region II,Region II,Cagayan,Aparri West,300470,Aparri West National High School,1,6,2 STY 6CL,24000000,TCT/OCT
Region II,Region II,Cagayan,Aparri East,300471,Aparri East National High School,1,6,2 STY 6CL,24000000,TCT/OCT
Region II,Region II,Cagayan,Ballesteros,300434,Ballesteros NHS,1,8,2STY 8CL,32000000,TCT/OCT
Region II,Region II,Cagayan,Iguig,102714,Gammad ES,1,4,CONSTRUCTION OF 2STy4CL,16000000,SP
Region II,Region II,Cagayan,Penablanca East,102796,Abucay ES,1,8,2 STY 4CL with retaining wall,37000000,SP
Region II,Region II,Cagayan,Penablanca West,300445,Penablanca National High School,1,14,"CONSTRUCTION OF 2ST6CL and 2sty8cl TVL,BMC,EIM Building",56000000,TCT/OCT
Region II,Region II,Cagayan,Amulung West,300453,Bayabat NHS,1,9,CONSTRUCTION OF 3STY9CL Laboratory Building,36000000,SP
Region II,Region II,Cagayan,Solana West Educational Zone,300461,Gadu National High School,1,12,2 STY 6CL,96000000,TCT/OCT
Region II,Region II,Cauayan City,Cauayan North District,103211,Cauayan North CS,1,8,2STY8CL,21600000,TCT/OCT
Region II,Region II,Cauayan City,Cauayan North District,300516,Cauayan City NHS,1,20,4STY20CL,54000000,TCT/OCT
Region II,Region II,Cauayan City,Cauayan East District,300552,Linglingay NHS,1,8,2STY4CL2LAB,21600000,SP
Region II,Region II,Cauayan City,Cauayan East District,300613,Villa Concepcion National High School,1,8,2STY8CL,21600000,TCT/OCT
Region II,Region II,City of Ilagan,East,103354,Alinguigan 1st Elementary School,1,4,2STY4CL,14400602.74,SP
Region II,Region II,City of Ilagan,South,103359,Batong Labang ES,1,6,2STY6CL,17969518.76,SP
Region II,Region II,City of Ilagan,South,103402,Ilagan South CS,1,4,2STY4CL,14400602.74,SP
Region II,Region II,City of Ilagan,San Antonio,103409,Sta. Maria Elementary School,1,4,2STY4CL,14280602.74,SP
Region II,Region II,City of Ilagan,West,103412,Alibagu Elementary School,1,6,2STY6CL,16985619.31,SP
Region II,Region II,City of Ilagan,West,103422,Guinatan Elementary School,1,6,2STY6CL,17969518.76,SP
Region II,Region II,City of Ilagan,West,103423,Ilagan West CS,1,6,2STY6CL,17969518.76,SP
Region II,Region II,City of Ilagan,North,300543,Rang-ayan NHS (Isabela NHS - Rang-ayan Annex),1,12,3STY12CL,39553492.99,SP
Region II,Region II,Isabela,Echague South,300566,Pangal Sur High School,1,20,4STY20CL,60000000,TCT/OCT
Region II,Region II,Nueva Vizcaya,Eastern Kayapa,104131,Macdu ES,1,4,"2STY4CL School Building with Demolition Works, Site Preparation and Hauling",14650000,SP
Region II,Region II,Nueva Vizcaya,Quezon,104148,Baresbes ES,1,4,"2STY4CL School Building with demolition works, site preparation and hauling",15570000,TCT/OCT
Region II,Region II,Nueva Vizcaya,Solano II,104184,Solano West Elementary School,1,4,2STY4CL School Building with demolition works and embankment,14290000,TCT/OCT
Region II,Region II,Nueva Vizcaya,Bayombong II,300626,Casat NHS,1,4,"2STY4CL School Building with demolition works, slope protection, embankment and canal lining",15850000,TCT/OCT
Region II,Region II,Nueva Vizcaya,Bayombong I,300641,Nueva Vizcaya Gen. CHS,1,16,4STY16CL,56000000,TCT/OCT
Region II,Region II,Quirino,Cabarroguis,104266,San Marcos ES,1,6,2STY6CL,21000000,SP
Region II,Region II,Quirino,Diffun I,104276,Andres Bonifacio ES,1,6,2STY6CL,21000000,SP
Region II,Region II,Santiago City,Santiago West,103828,Patul Elementary School,1,4,2STY4CL,18000000,SP
Region II,Region II,Tuguegarao City,Tuguegarao West Educational Zone,104404,Pardo ES,1,6,2sty/6cl,18000000,TCT/OCT
Region III,Region III,Bataan,Dinalupihan West,104595,San Ramon ES,1,4,2STY4CL,16250000,TCT/OCT
Region III,Region III,Bulacan,San Ildefonso South,105062,Sapang Putik Elementary School,1,6,2STY6CL,27360000,TCT/OCT
Region III,Region III,Bulacan,San Rafael,105115,Caingin ES,1,10,2STY10CL,47025000,TCT/OCT
Region III,Region III,City of San Jose Del Monte,San Jose Del Monte West,107163,San Rafael (BBH) Elementary School,1,44,4STY12CL; 4STY12CL; 4STY20CL,220000000,TCT/OCT
Region III,Region III,Gapan City,Gapan North,105316,Bungo Elementary School,1,16,2sty10cl and 2sty6cl,72000000,TCT/OCT
Region III,Region III,Gapan City,Gapan North,300813,Sta. Cruz NHS,1,12,4ty12cl,54000000,TCT/OCT
Region III,Region III,Pampanga,Mexico West,106163,Anao ES,1,10,2sty10cl,30000000,TCT/OCT
Region III,Region III,Pampanga,Mexico North,106168,Concepcion ES,1,4,2STY4CL,14000000,TCT/OCT
Region III,Region III,San Fernando City,San Fernando East,107168,Camp Olivas Elementary School,1,6,3STY 6CL,24000000,TCT/OCT
Region III,Region III,San Jose City,San Jose City West,105724,Parang Mangga Elementary School,1,8,4STY8CL,29018883.05,SP
Region III,Region III,San Jose City,San Jose City East,300833,Porais National High School,1,20,4STY20CL,54345620.3,TCT/OCT
Region IV-A,Region IV-A,Batangas,Tingloy,107820,Tingloy Central School,1,8,2STY4CL,18000000,SP
Region IV-A,Region IV-A,Cabuyao City,District IV,108237,Bigaa ES,1,12,4ST12CL,55000000,SP
Region IV-A,Region IV-A,Calamba City,Calamba City West,109840,Bubuyan Elementary School,1,8,4STY 8 CL,36000000,TCT/OCT
Region IV-A,Region IV-A,Cavite,Rosario,108090,Mayor Calixto D. Enriquez Elementary School,1,32,"4STY-20CL
4STY-12CL",148000000,TCT/OCT
Region IV-A,Region IV-A,Cavite,Kawit,301189,Emiliano Tria Tirona Memorial National Integrated High School,1,64,"4STY32CL
4STY20CL
4STY12CL",298000000,TCT/OCT
Region IV-A,Region IV-A,Cavite,Amadeo,107859,Halang Banaybanay Elementary School,1,20,4STY-24CL,100000000,SP
Region IV-A,Region IV-A,Cavite,Amadeo,107865,Talon Elementary School,1,20,4STY-20CL,80000000,SP
Region IV-A,Region IV-A,Cavite,Tanza,108164,Julugan Elementary School,1,48,"4STY-20CL
4STY-16CL
4STY-12CL",205000000,TCT/OCT
Region IV-A,Region IV-A,Cavite,Trece Martirez City,108178,Aliang Elementary School,1,20,4STY-24CL,100000000,TCT/OCT
Region IV-A,Region IV-A,Cavite,Trece Martirez City,108184,Lapidario Elementary School,1,12,4STY-12CL,55000000,TCT/OCT
Region IV-A,Region IV-A,Cavite,Alfonso,107844,Kaytitinga Elementary School,1,32,"4STY-16CL
4STY-16CL",140000000,SP
Region IV-A,Region IV-A,Cavite City,Cavite City I District,109628,Garita ES,1,12,4STY12CL,47500000,TCT/OCT
Region IV-A,Region IV-A,Cavite City,Cavite City I District,301484,Cavite National High School,1,20,4STY20CL,64000000,SP
Region IV-A,Region IV-A,General Trias City,General Trias II,107957,Bacao Elementary School,1,16,4STY16CL,55000000,TCT/OCT
Region IV-A,Region IV-A,General Trias City,General Trias I,301194,Gov. Ferrer Memorial Integrated National High School,1,20,4STY20CL,64000000,TCT/OCT
Region IV-A,Region IV-A,General Trias City,General Trias II,301223,Tropical Village National High School,1,12,4STY12CL,47500000,TCT/OCT
Region IV-A,Region IV-A,Laguna,Los Baños,108307,LOPEZ ELEM,1,16,4STY16CL,75407142.86,SP
Region IV-A,Region IV-A,Laguna,Siniloan,108486,Antonio Adricula Sr. Memorial Elementary School,1,8,4STY8CL,45834939,SP
Region IV-A,Region IV-A,Laguna,Siniloan,108494,SINILOAN ELEMENTARY SCHOOL,1,12,4STY12CL,63928491.64,SP
Region IV-A,Region IV-A,Lipa City,Lipa City West District,109698,San Carlos ES,1,12,4STY12CL,57000000,TCT/OCT
Region IV-A,Region IV-A,Lipa City,Lipa City North Disrict,301491,Inosloban-Marawoy Integrated National High School,1,8,4STY8CL,40000000,TCT/OCT
Region IV-A,Region IV-A,Rizal,Binangonan II,301463,Talim Point National High School,1,6,2STY6CL,31000000,TCT/OCT
Region IV-A,Region IV-A,Rizal,Taytay II,301466,Manuel I. Santos Integrated School,1,12,4STY12CL,45000000,TCT/OCT
Region IV-A,Region IV-A,Rizal,Teresa,301467,Teresa National High School,1,12,4STY12CL,54000000,TCT/OCT
Region IV-A,Region IV-A,San Pablo City,Del Remedio,109768,Del Remedio Elementary School,1,16,4STY16CL,85237988.8,SP
Region IV-A,Region IV-A,San Pablo City,Del Remedio,109771,San Marcos Elementary School,1,12,4STY12CL,63928491.64,SP
Region IV-A,Region IV-A,San Pablo City,Lakeside,109788,C.M. Azcarate Elementary School,1,8,4STY8CL,42618994.43,TCT/OCT
Region IV-A,Region IV-A,San Pablo City,San Francisco,109799,San Isidro Elementary School,1,8,4STY8CL,42618994.43,TCT/OCT
Region IV-A,Region IV-A,San Pablo City,Lakeside,301504,San Pablo City Integrated High School,1,20,4STY20CL,106547486,TCT/OCT
Region IV-A,Region IV-A,San Pedro City,San Pedro,307907,"San Pedro Relocation Center National High School, Main (Langgam) Campus",1,48,8 STY 48 CL,950000000,TCT/OCT
Region IV-A,Region IV-A,Tanauan City,Tanauan City South II,107759,Hidalgo Elementary School,1,4,2STY 4CL,10000000,TCT/OCT
Region IV-A,Region IV-A,Tanauan City,Tanauan City West II,107763,Luyos Elementary School,1,6,2STY 6CL,15000000,TCT/OCT
Region IV-A,Region IV-A,Tayabas City,Tayabas East,109248,West Palale ES,1,9,3STY9CL,31500000,TCT/OCT
Region IV-A,Region IV-A,Tayabas City,Tayabas West,109254,Froilan E. Lopez ES,1,9,3STY9CL,31500000,TCT/OCT
Region IV-A,Region IV-A,Tayabas City,Tayabas East,301416,West Palale National High School,1,12,2STY6CL,42000000,TCT/OCT
MIMAROPA,MIMAROPA,Calapan City,Calapan East,111537,Guinobatan Elementary School,1,4,2STY 4CL,14000000,TCT/OCT
MIMAROPA,MIMAROPA,Calapan City,Calapan South,111566,Managpi Elementary School,1,6,2STY 6CL,21000000,TCT/OCT
MIMAROPA,MIMAROPA,Calapan City,Calapan West,111575,Filemon Samaco Memorial School,1,8,2STY 8CL,28000000,SP
MIMAROPA,MIMAROPA,Calapan City,Calapan West,301798,Canubing National High School,1,8,2STY 8CL,28000000,TCT/OCT
MIMAROPA,MIMAROPA,Oriental Mindoro,Pinamalayan West,301644,Nabuslot NHS,1,20,4STY20CL,70000000,TCT/OCT
MIMAROPA,MIMAROPA,Palawan,El Nido del Norte,111015,Barotuan Elementary School,1,6,2STY6CL,26812800,SP
MIMAROPA,MIMAROPA,Palawan,El Nido del Norte,111029,Maranlao Elementary School,1,4,2STY4CL,19271700,TCT/OCT
MIMAROPA,MIMAROPA,Palawan,Roxas Central,111136,Andres Soriano Memorial Elementary School,1,15,3sty15CL,65835000,SP
MIMAROPA,MIMAROPA,Palawan,Roxas South,111152,Magara Elementary School,1,8,2STY8CL,36708000,SP
MIMAROPA,MIMAROPA,Palawan,Roxas North,111172,Sandoval Elementary School,1,6,2STY6CL,25626000,SP
MIMAROPA,MIMAROPA,Palawan,San Vicente,111193,New Agutaya Elementary School,1,6,2STY6CL,26812800,SP
MIMAROPA,MIMAROPA,Palawan,Busuanga,501107,Ocam Ocam Integrated School,1,6,2STY6CL,26107000,TCT/OCT
MIMAROPA,MIMAROPA,Palawan,North Brooke's Point,110874,Ipilan Central School,1,6,2sty6CL,20000000,TCT/OCT
MIMAROPA,MIMAROPA,Palawan,Brooke'S Point II (S. Espanola),110897,Aboabo Elementary School,1,6,2STY6cl,22400000,SP
MIMAROPA,MIMAROPA,Palawan,Brooke'S Point II (S. Espanola),110914,Sofronio Española Central School,1,10,2STY10cl,38400000,SP
MIMAROPA,MIMAROPA,Palawan,Quezon South,111121,Quinlogan Elementary School,1,8,2sty8CL,23000000,SP
MIMAROPA,MIMAROPA,Palawan,Bataraza District I,301668,Bataraza National High School,1,20,4sty20CL,59500000,SP
MIMAROPA,MIMAROPA,Palawan,Aborlan Central,110725,Isaub Elementary School,1,14,2STY6CL and 2STY8CL,53855000,SP
MIMAROPA,MIMAROPA,Puerto Princesa City,Puerto Princesa I District,111470,Puerto Princesa Pilot ES,1,20,4STY-20CL,70000000,SP
MIMAROPA,MIMAROPA,Puerto Princesa City,Puerto Princesa II District,111492,Sicsican Elementary School,1,20,4STY-20CL,70000000,SP
MIMAROPA,MIMAROPA,Puerto Princesa City,Puerto Princesa II District,111495,Sta. Monica ES,1,20,4STY-20CL,70000000,SP
MIMAROPA,MIMAROPA,Puerto Princesa City,Puerto Princesa III District,111530,San Rafael ES,1,6,2STY-6CL,21000000,SP
MIMAROPA,MIMAROPA,Puerto Princesa City,Puerto Princesa I District,301782,Inagawan NHS,1,10,2STY-10CL,35000000,SP
MIMAROPA,MIMAROPA,Romblon,Romblon,111386,Romblon East Central School,1,12,4STY  12CL,144000000,SP
Region V,Region V,Catanduanes,Virac North,302083,Catanduanes NHS,1,20,4STY - 20CL,95000000,TCT/OCT
Region V,Region V,Iriga City,Iriga Central District,114424,San Isidro Elementary School,1,4,2sty4cl,20000000,SP
Region V,Region V,Iriga City,Iriga Central District,302253,Zeferino Arroyo High School,1,6,2sty6cl,30000000,SP
Region V,Region V,Legaspi City,Albay I District,114458,Bogna Elementary School,1,6,3STY6CL,40000000,TCT/OCT
Region V,Region V,Masbate City,Masbate South District 2,113696,Kinamaligan Elementary School,1,10,2STY6CL 2STY4CL,50000000,SP
Region V,Region V,Sorsogon,Gubat North,114185,Bagacay ES,1,4,2sty 4cl,18904362.73,SP
Region V,Region V,Sorsogon City,Bacon East,114525,Buenavista Elementary School,1,9,3STY-9CL,36000000,TCT/OCT
Region V,Region V,Sorsogon City,Bacon East,114529,Salvacion Elementary School,1,4,2STY-4CL,16000000,TCT/OCT
Region V,Region V,Sorsogon City,Bacon East,114533,Sugod Elementary School,1,9,3STY-9CL,36000000,TCT/OCT
Region V,Region V,Sorsogon City,Bacon West,114534,Bacon West Central School,1,12,3STY-12CL,48000000,SP
NCR,NCR,Manila,Tondo XI,136437,Manuel  L. Quezon Elementary School,1,80,10STY 80CL,800000000,TCT/OCT
NCR,NCR,Manila,Sta. Ana II,136487,M. Roxas de Ayala Elementary School,1,60,12STY 60CL,600000000,TCT/OCT
NCR,NCR,Taguig City and Pateros,Taguig District III,136891,Tenement Elementary School,1,30,10STY30CL,192000000,TCT/OCT
Region IV-A,Region IV-A,Lucena City,Lucena North District,301501,Lucena City National High School,1,24,8STY24CL,60000000,TCT/OCT
Region IV-A,Region IV-A,Rizal,Tanay II,109501,Camp Mateo Capinpin Elementary School,1,16,4STY8CL,34000000,TCT/OCT
Region IV-A,Region IV-A,Tanauan City,Tanauan City West I,301154,Tanauan School of Fisheries,1,16,4STY 16CL,41440000,TCT/OCT
MIMAROPA,MIMAROPA,Palawan,Coron Coastal,301684,Coron School of Fisheries,1,25,3sty15CL     & 2Sty10CL,96000000,TCT/OCT
MIMAROPA,MIMAROPA,Romblon,Odiongan South,301769,Odiongan National High School,1,48,2U-4STY20CL&2STY8CL,235000000,TCT/OCT
Region IV-A,Region IV-A,Tanauan City,Tanauan City West II,301113,Luyos National High School,1,8,2STY 8CL,20000000,TCT/OCT
Region V,Region V,Sorsogon City,Sorsogon East,114563,Sorsogon East Central School,1,20,4STY-20,100000000,TCT/OCT
CAR,CAR,Abra,Bangued East,134970,Calot Elementary School,1,4,2 storey 4 classrooms,14000000,DOD
CAR,CAR,Abra,Bangued East,134976,Sinapangan ES,1,4,2STY4CL classrooms with demolition of existing structure,21750000,DOD
CAR,CAR,Abra,Bangued West,134979,Bangued West CS,1,4, 2 storey 4 classrooms ,14600000,DOD
CAR,CAR,Abra,Baay-Licuan,135050,Baquero ES,1,4," 2 Storey 4 Classrooms with Slope protection, site levelling, storm drainage, perimeter fence, school pavement, school gate, school furniture and water system",41500000,TD
CAR,CAR,Apayao,Sta. Marcela,305109,Sta. Marcela NHS,1,4,2sty4cl,18900000,TD
CAR,CAR,Apayao,Flora,305113,FLORA NATIONAL HIGH SCHOOL,1,6,2sty6cl,32000000,PP
CAR,CAR,Baguio City,District I,136382,Baguio Central school,1,24,"4 STY 12 CL
4 STY 12 CL",117600000,TD
CAR,CAR,Benguet,La Trinidad,305133,Benguet National High School,1,20,CONSTRUCTION OF 4 STOREY 20 CLASSROOMS WITH  SITE ADAPTATION,70000000,DOD
CAR,CAR,Ifugao,Hingyon,135842,Pitawan ES,1,4,2S4CL,12000000,DOD
CAR,CAR,Ifugao,Lamut,135907,Nayon ES,1,4,2STY4CL,12000000,TD
CAR,CAR,Ifugao,Mayoyao,305185,Mayoyao NHS,1,12,4STY6CL & 3LAB,36000000,DOS
CAR,CAR,Ifugao,Aguinaldo,319002,Rufino I. Chungalao Science HS,1,11,"3STY 3CL &  3 LAB, 1STY2CL",33000000,TD
CAR,CAR,Mt. Province,Bauko II,305252,Mt. Data National High School,1,16,4 STY 8CL,104000000,TD
CAR,CAR,Tabuk City,Southern Tabuk District III,136180,SUYANG ELEMENTARY SCHOOL,1,6,2STY6CL,18000000,DOD
NCR,NCR,Caloocan City,Caloocan North III,305378,NHC High School,1,12,4STY12CL,48000000,DOD
NCR,NCR,City of San Juan,San Juan District II,136751,Pinaglabanan ES,1,24,6ST-24CL,150000000,TD
NCR,NCR,Manila,Tondo XIV,136444,Gen. Maximino Hizon Elementary School,1,80,2 UNIT 4STY 24CL & 2 UNIT 4STY 16CL,600000000,TD
NCR,NCR,Manila,Sta. Cruz I,136453,Apolinario Mabini Elementary School,1,14,4STY 16CL,128000000,TD
NCR,NCR,Manila,Sampaloc VI,136467,P. Burgos ES,1,56,8STY 56CL,600000000,TD
NCR,NCR,Manila,Sampaloc VIII,305317,Elpidio Quirino High School,1,84,7STY 84CL,840000000,TD
NCR,NCR,Taguig City and Pateros,Taguig District I,136875,"Ricardo P. Cruz, Sr. Elementary School",1,16,4STY16CL,84122500,TD
NCR,NCR,Valenzuela City,Valenzuela City North District,136811,Wawang Pulo Elementary School,1,12,4STY 12CL,58150000,TD
Region I,Region I,Alaminos City,District I,101166,Alaminos Central School,1,6,2  STY 6CL,21000000,TD
Region I,Region I,Alaminos City,District III,101200,Telbang ES,1,4,2 STY 4CL,14000000,TD
Region I,Region I,Candon City,District I,100440,Darapidap Elementary School,1,4,2STY4CL,14000000,DOS
Region I,Region I,Ilocos Norte,Marcos-Nueva Era,300020,Marcos NHS,1,4,2STY4CL,14000000,DOS
Region I,Region I,La Union,Bauang North,151002,Quinavite Elementary School,1,4,2STY 4CL,10000000,DOD
Region I,Region I,La Union,Tubao,300092,Anduyan National High School,1,4,2STY 4CL,10000000,TD
Region I,Region I,La Union,Rosario,300127,Parasapas National High School,1,4,2STY 4CL,10000000,TD
Region I,Region I,La Union,Rosario,300151,Tanglag National High School,1,4,2STY 4CL,10000000,TD
Region I,Region I,La Union,Sto. Tomas,321010,Sto. Tomas National High School,1,6,3STY6CL,20000000,DOD
Region I,Region I,"Pangasinan I, Lingayen",Anda,101217,Sablig ES,1,6,2STY6CL,21000000,DOD
Region I,Region I,"Pangasinan I, Lingayen",Anda,101221,Tondol ES,1,6,2STY6CL,21000000,TD
Region I,Region I,"Pangasinan I, Lingayen",Dasol,101452,Mac Arthur Salanga Mem. ES,1,4,2STY4CL,14000000,DOD
Region I,Region I,"Pangasinan I, Lingayen",Sual,101663,Raymunda Verzosa ES,1,4,2STY4CL,14000000,TD
Region I,Region I,"Pangasinan I, Lingayen",Anda,300158,Anda National High School,1,12,4STY12CL,42000000,DOS
Region I,Region I,"Pangasinan I, Lingayen",Basista,101258,Obong ES,1,6,2STY6CL,21000000,TD
Region I,Region I,"Pangasinan I, Lingayen",Binmaley I,101318,Malindong Elementary School,1,8,4STY8CL,28000000,TD
Region I,Region I,"Pangasinan I, Lingayen",Bugallon II,101386,Bolaoen ES,1,6,3STY6CL,35100000,DOD
Region I,Region I,"Pangasinan I, Lingayen",Lingayen II,101491,Baay ES,1,6,2STY6CL,31200000,TD
Region I,Region I,"Pangasinan I, Lingayen",Lingayen II,101499,Malimpuec ES,1,6,2STY6CL,31200000,TD
Region I,Region I,"Pangasinan I, Lingayen",Urbiztondo,101672,Angatel ES,1,8,4STY8CL,40000000,DOD
Region I,Region I,"Pangasinan I, Lingayen",Urbiztondo,101679,Col. T. Custodio ES,1,4,2STY4CL,26400000,DOD
Region I,Region I,"Pangasinan I, Lingayen",Urbiztondo,101682,Duplac ES,1,4,2STY4CL,23400000,TD
Region I,Region I,"Pangasinan I, Lingayen",Urbiztondo,101689,Don Pio B. Palisoc ES,1,9,3STY9CL,50800000,TD
Region I,Region I,"Pangasinan I, Lingayen",Lingayen III,151502,Aplaya Elementary School,1,8,2STY8CL,39000000,TD
Region I,Region I,"Pangasinan I, Lingayen",Basista,300167,Basista NHS,1,16,4STY16CL,40000000,DOD
Region I,Region I,"Pangasinan I, Lingayen",Mangatarem II,300174,Bogtong NHS,1,12,4STY12CL,67400000,DOD
Region I,Region I,"Pangasinan I, Lingayen",Binmaley II,300199,Dulag National High School,1,12,4STY12CL,50800000,TD
Region I,Region I,"Pangasinan I, Lingayen",Mangatarem I,300222,MANGATAREM NATIONAL HIGH SCHOOL,1,20,4STY20CL,98600000,DOD
Region I,Region I,"Pangasinan I, Lingayen",Lingayen I,300233,Pangasinan National High School,1,8,4STY8CL,50800000,TD
Region I,Region I,"Pangasinan I, Lingayen",Urbiztondo,300236,Urbiztondo National High School,1,9,3STY9CL,50800000,DOD
Region I,Region I,"Pangasinan I, Lingayen",Calasiao I,101422,Calasiao Central School,1,6,2STY6CL,21000000,TD
Region I,Region I,"Pangasinan I, Lingayen",Malasiqui II,101561,Don Pedro ES,1,6,2STY6CL,21000000,TD
Region I,Region I,"Pangasinan I, Lingayen",Sta. Barbara I,101637,STA. BARBARA CENTRAL SCHOOL,1,12,4STY12CL,42000000,TD
Region I,Region I,"Pangasinan I, Lingayen",Sta. Barbara II,101645,Leet Elementary School,1,4,2STY4CL,14000000,DOD
Region I,Region I,"Pangasinan I, Lingayen",Malasiqui I,151520,Ican Elementary School,1,8,4STY8CL,28000000,DOD
Region I,Region I,"Pangasinan I, Lingayen",Malasiqui II,151523,Binalay ES,1,6,2STY6CL,21000000,DOD
Region I,Region I,"Pangasinan I, Lingayen",Calasiao I,300177,Bued National High School,1,16,4STY16CL,56000000,DOD
Region I,Region I,"Pangasinan I, Lingayen",Mapandan,300224,Mapandan National High School,1,16,4STY16CL,56000000,DOD
Region I,Region I,"Pangasinan II, Binalonan",Manaoag,300325,Manaoag NHS,1,28,4STY20CL & 4STY8CL,92400000,PP
Region I,Region I,"Pangasinan II, Binalonan",Asingan I,300277,Ariston-Bantog NHS,1,8,4STY8CL,26400000,TD
Region I,Region I,"Pangasinan II, Binalonan",San Nicolas II,300324,Malico NHS,1,4,2STY4CL,13200000,TD
Region I,Region I,"Pangasinan II, Binalonan",Tayug II,300333,Panganiban NHS,1,4,2STY4CL,13200000,TD
Region I,Region I,"Pangasinan II, Binalonan",San Nicolas I,300354,San Nicolas National High School,1,20,4STY20CL,70000000,TD
Region I,Region I,"Pangasinan II, Binalonan",San Quintin,300356,San Quintin NHS,1,16,4STY16CL,52800000,TD
Region I,Region I,San Carlos City,San Carlos City District I,102225,Tandoc Elementary School,1,9,3 STY 9 CL,27000000,DOS
Region I,Region I,San Carlos City,San Carlos City District II,102229,Ignacio Centeno Elementary School,1,15,3 STY 15 CL,45000000,TD
Region I,Region I,San Carlos City,San Carlos City District II,102232,Malacañang Elementary School,1,12,3 STY 12 CL,36000000,DOS
Region I,Region I,San Carlos City,San Carlos City District I,300376,Abanon National High School,1,16,4 STY 8 CL,48000000,DOD
Region I,Region I,San Carlos City,San Carlos City District I,300377,Bacnar National High School,1,8, 4 STY 8 CL,24000000,TD
Region I,Region I,San Carlos City,San Carlos City District I,300390,Tandoc National High School,1,12,4 STY 12 CL,36000000,DOD
Region I,Region I,San Carlos City,San Carlos City District I,300391,Turac National High School,1,20,4 STY 20 CL,60000000,DOD
Region I,Region I,San Fernando City,San Fernando I,101034,Santiago ES,1,12,4STY12CL,42000000,TD
Region I,Region I,San Fernando City,San Fernando I,300118,La Union NHS,1,20,4STY20CL,70000000,TD
Region II,Region II,Cagayan,Alcala East,102374,Pinopoc ES,1,4,2 STY 4CL,16000000,DOD
Region II,Region II,Cagayan,Baggao West,102533,TUEG ELEMENTARY SCHOOL,1,6,CONSTRUCTION OF 2STY6CL,24000000,DOD
Region II,Region II,Cagayan,Sta. Ana,102905,Palawig ES,1,13,CONSTRUCTION OF 2ST10CL &1STY3CL,52000000,TD
Region II,Region II,Cagayan,Claveria East,102608,Claveria CS,1,10,2STY 10CL,40000000,TD
Region II,Region II,Cagayan,Claveria East,102609,Claveria East CS,1,4,2STY 4CL,16000000,TD
Region II,Region II,Cagayan,Piat,102825,Sta. Barbara-Maguilling E/S,1,6,2 STY 6CL,24000000,TD
Region II,Region II,Cagayan,Abulug,300418,Abulug National Rural and Vocational High School,1,4,"2 STY e-lab, Science Lab and TVL",32000000,PP
Region II,Region II,Cagayan,Claveria East,300449,Claveria National High School,1,6,2STY 6CL,24000000,DOD
Region II,Region II,Cagayan,Claveria East,300450,Claveria RVS,1,6,2STY 6CL,24000000,TD
Region II,Region II,Cagayan,Claveria East,300451,Claveria SAT,1,6,2STY 6CL,24000000,DOS
Region II,Region II,Cagayan,Rizal,300464,Illuru NHS,1,9,3STY 9CL,36000000,DOS
Region II,Region II,Cagayan,Abulug,300473,Libertad National High School,1,10,2 STY 10CL,40000000,DOD
Region II,Region II,Cagayan,Allacapan North,300477,Matucay National High School,1,6,2sty 4cl with e-lab and science lab,32000000,DOD
Region II,Region II,Cagayan,Sto. Nino,306014,LUBO NATIONAL HIGH SCHOOL,1,8,2 STY 8CL,32000000,DOD
Region II,Region II,Cagayan,Amulung East,102410,Dugayung-Jurisdiccion ES,1,6,2 STY 6CL,24000000,TD
Region II,Region II,Cagayan,Iguig,102717,Malabbac ES,1,8,2 STY 8CL,32000000,DOS
Region II,Region II,Cagayan,Penablanca West,102810,Baliwag Elementary School,1,4,CONSTRUCTION OF 2ST4CL,8000000,DOD
Region II,Region II,Cagayan,Tuao West,102987,Tuao CES,1,4,CONSTRUCTION OF 2ST4CL,8000000,TD
Region II,Region II,Cagayan,Solana North,300427,Dassun NHS,1,6,2 STY 6CL,24000000,DOD
Region II,Region II,Cagayan,Iguig,300463,Vicente D. Trinidad High School,1,16,2 STY 8CL,128000000,DOD
Region II,Region II,Cagayan,Solana South,306424,Solana National High School,1,10,2 STY 10CL,40000000,DOD
Region II,Region II,City of Ilagan,East,103356,Alinguigan 3rd Elementary School,1,9,3STY9CL,27000000,DOD
